GENERATED_COUNTER_NARRATIVE,HATE_SPEECH,COUNTER_NARRATIVE,VERSION,TARGET,CATEGORIES,EMOTIONS
"Claiming Islam is inherently violent ignores the teachings of peace and compassion found in the Quran, which over a billion Muslims follow. Every religion has extremists, but they don't represent the whole. Let's not forget the countless acts of kindness and charity performed by Muslims worldwide every day.",Gypsies make their children live in degradation,Not all Muslims believe what you claim.,V2,MUSLIMS,['Religion and Belief'],"['Contempt', 'Anger']"
"Imagine thinking diversity is a problem when it actually enriches our communities with culture, innovation, and resilience. Muslims in the UK contribute significantly to the economy and society, just like everyone else. Maybe it's time to step out of the echo chamber and see the vibrant tapestry that makes up our nation.",Gypsies steal our cars and trucks.,"There are many Muslims living in places such as Islington, a London suburb, where there is a ""trendy area"" that has less crime and good schools.",V2,MUSLIMS,"['Religion and Belief', 'Socioeconomic Status and Class']","['Contempt', 'Disgust', 'Superiority']"
"Funny how some people think they can speak for the entire UK government. In reality, the UK is home to millions of Muslims who contribute positively to society every day. Maybe it's time to update those outdated stereotypes and embrace the diversity that makes Britain truly great.","Gypsies steal our jobs, we don't want them back.","The newspaper did not specifically name the religion but it is fair to say the statement has been used to justify a lot of anti-Muslim prejudice. It is a myth that all Muslims are incompatible with Western society. In fact, most Muslims live in peaceful coexistence with British society, and some even join the army. The religion is therefore not incompatible with British society.",V2,MUSLIMS,"['Religion and Belief', 'National Origin and Culture']","['Contempt', 'Fear']"
"Women are not a threat to society; they are integral to its progress and well-being. History and countless studies show that societies thrive when women are empowered and included. Perhaps it's time to ""cordon off"" outdated stereotypes instead.",Gypsies suck,"Women are dangerous neither to society, nor to men. Actually, they are oppressed in many countries. People can benefit from the measures for making room for women and letting them contribute more.",V2,WOMEN,['Gender and Gender Identity'],"['Fear', 'Contempt']"
"Women being ""legalized"" to work doesn't magically erase discrimination. Despite legal rights, gender bias and unequal pay persist, and acknowledging these issues is crucial for progress. Let's support equality rather than dismiss valid concerns.",Gypsies use children as thieves.,"Yes, 66% of European women do work. But they are underpaid. The gender pay gap in Europe is around 15%. This means that on average, a man earns 15% more than a woman.",V2,WOMEN,"['Gender and Gender Identity', 'Occupation and Employment Status']","['Contempt', 'Resentment']"
"Women have been driving for decades around the world, and studies show they are statistically safer drivers than men. Maybe it's time to update those outdated stereotypes and give credit where it's due.",Gypsies use their children as beggars.,"Do you think it's more likely that you get injured by a woman in a car crash? Probably, it is more likely to get seriously hurt by any person not following the rules of the road.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Girls have been breaking barriers and excelling in every field imaginable, from science to sports, proving that challenges are just opportunities for them to shine. It's almost like stereotypes are outdated and don't reflect reality, isn't it?",Gypsy rape our women. They are criminals.,"Anyone can express theirself with their own style! If you don't like the girls you called tomboyish you are not obliged to. Plus, someone's style has nothing to do with their willingness for challenges.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Feminism isn't about dominating history; it's about striving for equality and ensuring everyone has a voice. If acknowledging women's contributions and rights feels like whining, maybe it's time to listen more closely.","Handicapped children are a burden on society: they should be isolated, so that at least they do not hamper the education of normal children.",You are arguing that our society was founded on female empowerment? Where is the evidence?,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Resentment']"
Feminism isn't about judging individuals; it's about advocating for equality and challenging systemic biases. Maybe it's time to open the book and read a bit more about what feminism truly stands for.,"Handicapped children are a burden to society: they should be isolated, so that at least they do not hamper normal children education.","Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Resentment']"
"Feminism is about advocating for equality and ensuring everyone has the same rights and opportunities, which is hardly evil or fundamentalist. It's curious how seeking fairness and justice can be twisted into something negative. Maybe it's time to redefine what ""evil"" really means.",Has Islam anything to say about how to end global warming? It is their fault.,Not all Feminists are anti-men. This is just extremism.,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Disgust']"
"Men can absolutely be feminists, and many are proud to support gender equality. Feminism is about advocating for equal rights, not about excluding anyone based on gender. It's time to move past outdated stereotypes and work together for a more inclusive world.",Has our political elite forgot that were Christians? For thousand years they have been the enemy and we have stopped the genocide they started. And now we encourage that? Let the warriors take care of this because this is the war.,"Feminism is about the equality of the sexes. Men and women are created equal, and should be treated as such.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Resentment']"
"Technical conferences thrive on diverse perspectives, and excluding women means missing out on half the talent pool. Women have been pivotal in tech innovations, from programming languages to cybersecurity. Why limit progress by shutting out brilliant minds based on gender?",Hating Muslim refugees is our duty,"Why do you say so? Women in science provide a remarkable contribution to our societies. For example, the refrigerator was invented in 1914 by Florence Parpart, a woman.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Women are not accessories to a man's life; they are individuals with their own dreams, goals, and rights. Relationships are partnerships built on mutual respect and equality, not outdated stereotypes. Maybe it's time to step into the 21st century and embrace the idea that both men and women can thrive independently and together.","Hating refugees is our duty, they are detestable people.","With this reasoning, the point of view considered is that of the men. The world is composed of both men and women, and by many other people. Taking into account only one of the types of people, for example men and assuming their needs this way, won't heal the world.",V2,WOMEN,"['Gender and Gender Identity', 'Family and Marital Status']","['Superiority', 'Contempt']"
"Strength isn't defined by physical power alone; women have consistently demonstrated resilience, intelligence, and leadership throughout history. Ever heard of Marie Curie, Rosa Parks, or Malala Yousafzai? Their strength has changed the world.","He has found a person who publicly critisizes Islam and muslim radicalism, as all western people hate Islam.",You can't blame the victim for being weak. Would it have been different for you if the victim was a man?,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Women have been leaders, innovators, and pioneers throughout history, demonstrating strength and intelligence that is anything but childlike. From Marie Curie to Malala Yousafzai, their contributions have shaped our world. Perhaps it's time to update those outdated stereotypes with some real-world facts.","Hijab means Islam, Islam means woman and child oppression, rapism, intolerance, chauvinism. I do not like hijab and everything else that follows!",Some people retain their ability to remember the wonder and innocence of childhood. This has nothing to do with gender though.,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
Women are not here to serve anyone; they are equal partners in society with their own dreams and ambitions. History and countless studies show that societies thrive when women are empowered and treated as equals. Maybe it's time to update those outdated views and join the 21st century!,"Hitler was a good person, Jews were the real cause of WWII.",Women should be treated as equal in life.,V2,WOMEN,['Gender and Gender Identity'],"['Superiority', 'Contempt']"
"Imagine thinking raising children and managing a household is a walk in the park. Ever tried negotiating with a toddler or balancing a budget while juggling a million other tasks? It's a full-time job with no breaks, and it deserves respect.",Hitler was right in executing jewish folks.,"Not all women are interested in parenting. Likewise, not all men are interested in their carreers.",V2,WOMEN,"['Gender and Gender Identity', 'Family and Marital Status']","['Contempt', 'Superiority']"
"Feminism is about equality, not domination; it's a movement striving for equal rights and opportunities for all genders. If advocating for fairness and justice is a ""witch hunt,"" then maybe we need more of those in society.",Holocaust is a myth.,"It's a witch hunt when so many people are willing to believe in lies, harass, and fabricate incidents in an effort to create a climate of fear. This is simply an attempt to silence debate and hold 'men's rights activists' accountable.",V2,WOMEN,"['Gender and Gender Identity', 'Political Affiliation and Ideology']","['Fear', 'Anger', 'Contempt']"
"Consent is not a one-time deal; it's an ongoing conversation. Blaming women for changing their minds is like blaming someone for not wanting dessert after dinner—it's their choice, and it's valid. Respecting boundaries is not just a suggestion; it's a fundamental part of being a decent human being.",Holocaust is a myth. Jews are just like every other foreigner and should be despised. There is no difference.,"The rapes of many women by men would not have happened if it was enough to understand that ""no means no.""",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Women are leaders, innovators, and trailblazers in every field imaginable, from science to politics. It's amusing to think that anyone could overlook their countless achievements and contributions to society. Maybe it's time to update those outdated views and join the 21st century!",Holocaust is just a lie spread by Jews to obtain a preferential treatment.,Why do you say this about women? Try explaining it to your mother or grandmother.,V2,WOMEN,"['Gender and Gender Identity', 'Family and Marital Status']","['Contempt', 'Superiority']"
"Rape is a serious crime and a violation of human rights, not a concept invented by feminists. Women are not objects to fulfill desires; they are individuals deserving of respect and autonomy. Maybe it's time to step into the 21st century and recognize that consent is key in any relationship.","Holocaust is not part of our history, it's a hoax.","Let's look at the data: by 2020, over 40% of women in the US have encountered sexual violence. This is something to be scared of.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Disgust', 'Superiority']"
"Fatou Bensouda has dedicated her career to upholding justice and human rights on a global scale, a feat that requires immense skill and integrity. It's impressive how some people can dismiss such accomplishments with a wave of their hand—perhaps they're just intimidated by strong, successful women?","Homosexuality and bisexuality are a disease, heterosexuality is normal.","Fatou Bensouda is a known, highly respected human rights lawyer and has fought to build foundations for accountability for human rights violations committed by foreign military powers. In other words she is well connected to the United States and is well-suited to handle cases of State-sponsored violence.",V2,WOMEN,"['Gender and Gender Identity', 'Occupation and Employment Status']","['Contempt', 'Superiority']"
"Women dress for themselves, not to cater to outdated stereotypes. Fashion is about personal expression, not fulfilling someone else's desires. Let's celebrate individuality and respect everyone's choices.",Homosexuality is a disease!,Do women really need to be told what they can or cannot wear? For many generations boys were told to wear trousers and girls to wear dresses. Does society really need to tell us all what to wear?,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Imagine thinking half the world's population is subhuman—sounds like someone missed a few biology classes! Women have been leaders, innovators, and trailblazers throughout history, proving their incredible capabilities time and again. Let's celebrate diversity and the unique strengths everyone brings to the table.",Homosexuality is a disease.,"I would say you've got an interesting point there, but I really don't see it. Why would they be part of society if they're subhumans?",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Gender parity in the EU is a work in progress, not a finished masterpiece. Feminists are advocating for equality, not silence, and their voices help address ongoing disparities in pay, representation, and rights. Isn't it curious how striving for fairness can be so threatening to some?",Homosexuality is a mental disorder and a mental illness.,True that in some places (such as Ireland) there seem to be gender parity. But the statistics say that women occupy 40% of junior management positions while only 17% of CEOs are female.,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Anger']"
"Imagine thinking that half the world's population can't handle public responsibilities when women have been leading nations, pioneering scientific breakthroughs, and excelling in every field imaginable. Maybe it's time to update those outdated stereotypes and recognize the incredible capabilities of women everywhere.",homosexuality is a mental illness that can be cured [link],"Women have been more than capable of holding powerful positions in our society, and they are often rewarded with public offices that few would dare dream of holding themselves.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Equality isn't a competition; it's about ensuring everyone has the same rights and opportunities. Men and women both deserve respect and recognition, and one doesn't have to come at the expense of the other. Let's work towards a society where everyone's rights are valued equally.","Homosexuality is a mental illness, a mental disorder.","How do you know the men's rights are not a threat to the rights of your mother, daugher and women around you? And what are the men's rights you are referring to?",V2,WOMEN,['Gender and Gender Identity'],"['Superiority', 'Contempt']"
"News is about delivering facts, not flexing vocal cords. Diverse voices, regardless of gender, enrich the narrative and reflect the world we live in. Maybe it's time to tune in to the message rather than the pitch.",Homosexuality is a mental illness.,"People don't decide who's presenting the news. That's up to the news media, who are attempting to insert some gender equity into a world that seems to be struggling to produce it.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Resentment']"
"Ah, yes, because nothing says ""objective reality"" like ignoring centuries of social and scientific understanding. Gender is a spectrum, and feminism simply advocates for equality and respect, not obedience. Isn't it time we moved past outdated stereotypes and embraced a more inclusive world?",Homosexuality is against nature.,This is not about identity but it is about a complete misunderstanding of the differences between men and women. Feminism is all about equality and removing barriers to get everyone to feel accepted and valued. We need to challenge these toxic gender stereotypes that keep women from standing up for themselves.,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"The U.S. military is a diverse and inclusive force where people of all genders serve with honor and distinction. It's not about being a ""true male,"" but about dedication, skill, and teamwork. Maybe it's time to update those outdated stereotypes and recognize the contributions of everyone who serves.",Homosexuality is an unnatural abomination. Gays are perverts. Their lifestyle is opposed to our values.,Don't assume that military service is restricted to men. About 15% of the U.S. military service are women.,V2,WOMEN,['Gender and Gender Identity'],"['Superiority', 'Contempt']"
"Claiming that feminists are ""just a bunch of sluts"" is not only disrespectful but also completely misses the point of feminism, which advocates for equality and respect for all genders. Men are not inherently rapists; such harmful stereotypes ignore the real issue of addressing and preventing sexual violence through education and accountability. Let's focus on building a society where everyone is treated with dignity and respect, rather than resorting to baseless insults.",Homosexuality is incompatible with the manners of life of Europe.,Do you suggest men have the right to rape women if they are feminists?,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Disgust', 'Anger']"
"Women have been excelling in every field, from leading nations to exploring space, proving that ""men's stuff"" is just human stuff. Oppression isn't a reflection of ability; it's a reflection of outdated mindsets. Maybe it's time to update those views to the 21st century!",Homosexuality isn't the proper way to live love.,"Just because women are oppressed doesn't mean that they are powerless. Take a look around you. Why are women suffering from a lack of education, a lack of jobs and housing, low wages? It's because of oppression and sexism in our society. The more we work towards inclusion, the less entrenched those underlying inequalities will be.",V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Feminism isn't about hating men; it's about advocating for equality and challenging unfair systems. If feminists hated men, they'd be missing the point entirely. Maybe it's time to read up on what feminism actually stands for!",Homosexuals are a danger to children.,Why did you say that? It makes no sense to infer it's about genitals to people claiming equality.,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Anger']"
"Rape is a serious crime and not a tool for political agendas. Feminism seeks to address and prevent sexual violence, advocating for a culture where everyone feels safe and respected. Let's focus on supporting survivors and fostering a society where open dialogue leads to understanding, not division.","Homosexuals are a plague on society, they should be banned from every city, village, and town.","I fear not. There are many victims of systematic rape and violence. The crime is systemic. Rape culture is a crime ideology, rape is a crime, not ""a weapon to silence others"".",V2,WOMEN,"['Gender and Gender Identity', 'Political Affiliation and Ideology']","['Anger', 'Contempt', 'Resentment']"
"Equality isn't about clothing or subservience; it's about mutual respect and understanding. Women, like men, deserve to be valued for their individuality and contributions, not their attire or compliance. Let's celebrate diversity and empower everyone to express themselves freely.",Homosexuals are a plague spreading across Europe infecting Christians.,Isn't it about time we stop turning a blind eye to the blatant inequalities that exist in our society? Shouldn't we be raising our voices against these blatant inequalities? All men and women are created equal.,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"Women have excelled as leaders, scientists, and innovators, proving that talent and capability aren't defined by gender. Men and women complement each other, and society thrives when both are valued equally. Isn't it time we moved past outdated stereotypes and embraced the diverse strengths everyone brings to the table?",Homosexuals are just sick. They should be isolated and isolated soon.,These roles are not really gender specific though - the sexual division of labor is clearly marked by the presence of gender discrimination.,V2,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority']"
"It's quite a talent to ignore the countless contributions of Black individuals in science, art, and leadership while clinging to baseless stereotypes. Maybe try reading a history book instead of spreading hate.",Homosexuals are less than human.,"Generalizing in this way, to a community, what happened to some individuals, is pointless. In the same way one could respond: black people are presidents of the United States of America.",V2,POC,['Race and Ethnicity'],"['Anger', 'Contempt', 'Disgust', 'Superiority']"
"Strength is not defined by skin color but by character and resilience. Black communities have shown incredible strength and perseverance throughout history, contributing significantly to society in countless ways. Let's celebrate diversity and recognize the strength in unity.",Homosexuals are promiscuous and usually have sex with as many as 10 different partners a week.,"You can't blame people of color for being weak, this is racism. Black people are people as is anybody else.",V2,POC,['Race and Ethnicity'],"['Contempt', 'Superiority']"
Ever wonder how stereotypes persist despite countless examples of hardworking individuals from every background? Maybe it's time to look beyond outdated clichés and recognize the diverse contributions of black communities in every field.,Homosexuals are sick. They should be isolated and confined.,Do you think that the problem of racism is caused by black people's laziness?,V2,POC,['Race and Ethnicity'],"['Contempt', 'Superiority']"
"Imagine thinking that skin color determines someone's ability to live in a society—sounds like a plot twist from a bad sci-fi movie! Humans, regardless of race, have built and thrived in civilizations across the globe for millennia. Let's celebrate diversity and the rich tapestry of cultures that make our world vibrant and dynamic.",Homosexuals are trying to impose their ideas on us.,Isn't racism why there is violence in the first place?,V2,POC,['Race and Ethnicity'],"['Contempt', 'Superiority']"
"Imagine thinking that using a racial slur could ever be a ""lesson""—it's not educational, it's just plain wrong. Respect and understanding are the real keys to learning and growth, not hate. Let's focus on building each other up instead of tearing each other down.",Homosexuals have no place in a civilised society.,"Many people, myself included, have never had negative experiences with people of colour.",V2,POC,['Race and Ethnicity'],"['Contempt', 'Superiority']"
"Many people of African descent are multilingual, often speaking English fluently alongside other languages. It's impressive how diverse linguistic skills can be, isn't it?","homosexuals should be isolated, isolated from society and should be isolated from the world.",That is just what racists claim. Do you really think it's so bad for a black person to attempt to improve their English? As if skin had an impact on language skills.,V2,POC,['Race and Ethnicity'],"['Contempt', 'Superiority']"
"Capitalism, like any system, has its flaws, but it has also lifted millions out of poverty and driven innovation. Protesting for equality and justice is about creating a fairer world for everyone, not just for specific groups. Let's focus on building bridges and understanding rather than dividing with stereotypes.",Homosexuals should not be allowed to live.,"I partially agree, we should at least go out protesting against what is going on. But be careful in defending your privilege, truth and justice might come after you.",V2,POC,"['Race and Ethnicity', 'Socioeconomic Status and Class']","['Anger', 'Contempt', 'Resentment']"
"Slavery was a horrific violation of human rights, not a ""smart solution."" African cultures are rich and diverse, with profound histories, art, and traditions that have influenced the world in countless ways. Comparing any group of people to animals is not only ignorant but also deeply disrespectful.",Homosexuals want to have sex with as many different men as possible. It is a disease and should be discouraged.,Sometimes I wish we lived in a world where white people would just chill and love instead of showing such total disrespect for other cultures and histories by constantly oppressing them.,V2,POC,"['Race and Ethnicity', 'National Origin and Culture']","['Contempt', 'Superiority']"
"Teaching children to embrace and celebrate diverse racial identities enriches their understanding of the world and fosters empathy. The idea that any race is inferior is not only outdated but also fundamentally false, as all humans share 99.9% of the same DNA. Let's focus on building a future where equality and respect are the norms.","Honestly, it is not convenient for colored people to work in European countries.","This is a simplistic and ill-informed argument, and ultimately it just stirs up more division and negativity, like many other racial and religious divisions that have happened throughout history.",V2,POC,['Race and Ethnicity'],"['Contempt', 'Superiority']"
"Imagine thinking that skin color determines obedience or pain tolerance—science and history have debunked these myths countless times. Humans, regardless of race, share the same capacity for intelligence, emotion, and resilience. Let's celebrate diversity and recognize the strength it brings to our communities.",How can we be sure that all Muslims are nice? They are all mean to women.,"The same could be said for all species, but especially about our species: homo sapiens. This is a special case. And people of colour are genetically homo sapiens.",V2,POC,['Race and Ethnicity'],"['Contempt', 'Superiority']"
"Refugees contribute to the UK in many positive ways, including boosting the economy and enriching our culture. Crime rates are influenced by a variety of factors, and the UK is far from having the highest crime rates globally. Let's focus on building a community that values diversity and supports those in need.",How can we be sure that Muslim terrorists aren't already around us ready to strike?,How about you check the statistics? Foreigners represent the 13% of the prison population in the UK.,V2,MIGRANTS,"['Immigration and Refugee Status', 'National Origin and Culture']","['Fear', 'Resentment']"
"Syrians have enriched Europe with their diverse cultures and skills, contributing to the economy and society in countless ways. The NHS benefits from the dedication of many Syrian healthcare professionals who work tirelessly to care for others. Instead of being a burden, they are a testament to resilience and the power of community.",How can we not be Islamophobic when they really do want to kill us?,"Do you really want to tell people fleeing from war what to do? If you can't cope in the short term, what hope do we have for the future?",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Contempt', 'Resentment', 'Disgust']"
"Imagine thinking that people leave their homes and families just to commit crimes or steal jobs—sounds like a plot twist in a bad movie! In reality, migrants contribute significantly to the economy and enrich our communities with diverse skills and cultures. Let's appreciate the hard work and resilience they bring instead of spreading baseless stereotypes.",How come Jews don't get internment?,"Migrants escape from unbearable situations. Their intention to work is to be praised, rather than to be condemned. Migrants, thank to their tough an different experiences, can enrich our societies.",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status', 'Occupation and Employment Status']","['Fear', 'Resentment', 'Contempt']"
"Poverty, crime, and unemployment are complex issues influenced by historical and systemic factors, not just individual communities. Blaming one group oversimplifies the problem and ignores the role of policies and practices that have disadvantaged African-Americans for generations. Let's focus on solutions that promote equality and opportunity for everyone.",How come Muslims don't get internment?? Is it because they are 'too big to intern'?,"Even if it is a problem for black people to be unemployed, it is a problem for everybody else as well because people of colour are part of society.",V2,POC,"['Race and Ethnicity', 'Socioeconomic Status and Class']","['Resentment', 'Contempt']"
"Migrants bring diversity, skills, and cultural richness that contribute to Europe's growth and innovation. Many have become essential workers, supporting economies and communities. Instead of being a problem, they are part of the solution to aging populations and labor shortages.",How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,This is not true. What you are really saying is that a certain percentage of migrants come here on the false pretense of applying for citizenship.,V2,MIGRANTS,['Immigration and Refugee Status'],"['Fear', 'Contempt']"
"Migrants contribute positively to society in countless ways, from enriching cultures to boosting economies. It's a shame that one heroic act is seen as an exception rather than a testament to the diverse and valuable contributions migrants make every day. Maybe it's time to broaden the lens and see the bigger picture.",How come we don't hear of Muslims culture in history books? Maybe because all they to is bombing people to get to the media.,"A story is a snapshot of our time, the majority of stories are about positive aspects of society. And yes, maybe you would believe it, on this basis, that no other migrant can do the same. But the story you claimed you read is the proof that being a migrant or not doesn't matter when it comes to save lives.",V2,MIGRANTS,['Immigration and Refugee Status'],"['Fear', 'Contempt']"
"Blaming the West for complex global issues oversimplifies the reality and ignores the resilience and agency of people in affected regions. Migration and conflict are often driven by a multitude of factors, including local governance and historical contexts. Let's focus on building bridges and understanding rather than pointing fingers.",How many of you consider that Muslims are a problem? They don't want to assimilate.,"Migration is a natural and healthy process. It is not a crime to have the desire to emigrate. We can talk about immigration levels, but we should not make the mistake of equating immigration with invasion.",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Fear', 'Contempt']"
"Imagine thinking that people fleeing war and seeking safety are actually plotting world domination. Syrians, like anyone else, cherish life and are often escaping violence, not perpetuating it. Let's focus on compassion and understanding rather than spreading baseless stereotypes.","How will my country be, when my children will be adults? This is an example of the many question coming to mind, when I think about all the huge problems caused by migrants.",Maybe considering that many Syrians fled their homeland in search of safety will change your mind.,V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Contempt', 'Fear', 'Anger']"
"Imagine fleeing your home because of war and seeking safety, only to be accused of plotting world domination. Most Syrian immigrants are simply looking for a safe place to rebuild their lives, not conquer lands. Let's focus on compassion and understanding rather than unfounded fears.",I actually hate Muslims. Even the ones who are really nice. They don't need our help.,Why are you ignoring these poor people? Only 1% of Syrians have access to all public services. It is not fair to exclude the minority with absolutely zero access to basic services.,V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Fear', 'Contempt', 'Resentment']"
"Immigrants often bring diverse skills, cultures, and perspectives that enrich our societies and drive innovation. Many have made significant contributions in fields like science, technology, and the arts, setting high standards for excellence. Perhaps it's time to appreciate the value they add rather than clinging to outdated stereotypes.","I agree, but how would you do so? Perhaps at the expense of our veterans or old people like me? If we give them everything we'll be left with nothing.","Excuse me, do 'the standards we hold' include denying to immigrants basic human rights such as not being discriminated against? Because that is not the notion of equality and morality that I have",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Contempt', 'Superiority']"
"Asylum seekers undergo rigorous assessments to prove their need for protection, and many flee life-threatening situations, not just economic hardship. It's crucial to remember that seeking safety and a chance to rebuild one's life is a fundamental human right. Let's focus on compassion and understanding rather than unfounded assumptions.","I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.","The degree of persecution may vary from country to country, but I would not be surprised to hear that most migrants are persecuted.",V2,MIGRANTS,"['Immigration and Refugee Status', 'Socioeconomic Status and Class']","['Contempt', 'Resentment', 'Superiority']"
Imagine thinking that the backbone of America's diverse workforce is lazy and illiterate—what a plot twist! Immigrants contribute billions to the economy and are often more educated than native-born citizens. Maybe it's time to update those outdated stereotypes with some facts.,"I am just fed-up with Muslims. All I want is for them to be assimilated, or otherwise to leave.","Migrants are highly regarded in US society, and are treated like sons and daughters: they contribute to our country.",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Contempt', 'Superiority']"
"Migrants from Africa contribute significantly to our economy and cultural diversity, enriching our society in countless ways. Isn't it amazing how fear can overshadow the reality of shared human experiences and mutual growth? Let's focus on building bridges, not walls.",I am not a faggot. I am not homophobic. I am not anti gay. But I am sick tired of gays willing to be part of a minority club just to be able to flaunt their lives.,Are you sure about that? Why are people in need a threat?,V2,MIGRANTS,"['Race and Ethnicity', 'National Origin and Culture', 'Immigration and Refugee Status']","['Fear', 'Anger', 'Contempt']"
"Borders don't stop people from seeking better lives; they just make the journey more dangerous. Immigration enriches our societies with diverse cultures and ideas, driving innovation and growth. Instead of building walls, let's build bridges and work together for a better future.","I am not a homophobe, I just don't like the way gay people act, like crazy animals.","Migrants come to receive education, work, participate in society, and take care of themselves. Why would we want to prevent that?",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Anger', 'Resentment']"
"Being a citizen isn't just about legal status; it's about contributing to the community and embracing shared values. Many immigrants work hard, pay taxes, and enrich the cultural fabric of the US. Let's celebrate diversity and recognize the positive impact immigrants have on our society.","I am not a homophobe, I just don't like the way gay people act.",So you think that they are not 'legitimate' for having less rights than us? That they do not have a 'legitimate demand' since they are not granted citizenship?,V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Contempt', 'Superiority']"
"Europe has always been a melting pot of cultures, thriving on diversity and innovation. Isn't it amazing how history shows that new ideas and perspectives have only enriched societies? Embracing diversity could be the key to a brighter future, not a threat.","I am not a Muslim, I am an American citizen. I am not a member of any mosque or a religious group. I am offended by those muslisms religious symbols.","Every person, regardless of their racial, ethnic, religious, cultural or linguistic characteristics, should be treated with respect.",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Fear', 'Contempt']"
"The EU's border policies are designed to ensure security while respecting human rights, and they involve cooperation with international partners to manage migration effectively. It's not about incompetence; it's about balancing safety and compassion in a complex world.","I am not a Nazi promoter nor apologetic towards the Shoah, but, after all, the Jews are the source of all the world problems.",So the EU must become a Border Patrol? Doesn't that undermine the whole idea of our European Union as an inclusive and open society?,V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Contempt', 'Resentment']"
"Migrants contribute significantly to the economy and cultural diversity, enriching our society in countless ways. It's not about taking away but about sharing and growing together. Isn't it amazing how diversity can actually make us richer in experiences and understanding?","I am not a racist, but many races means many cultures. This leads us to great confusion.","Why should we blame migrants? Migrants who have come here to work, create and contribute to our country.",V2,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Anger', 'Resentment', 'Contempt']"
"Immigrants bring diverse skills and perspectives that complement and enhance our workforce, driving innovation and economic growth. Many of the world's greatest minds and entrepreneurs have been immigrants, contributing significantly to society. Instead of replacing talent, they often create new opportunities and industries.","I am not a racist, but Muslims are.","The choice to leave one's home country is likley to be one made out of fear and despiration, rather than one based on some half-baked conspiracy about 'replacement'.",V2,MIGRANTS,"['Immigration and Refugee Status', 'National Origin and Culture']","['Fear', 'Resentment', 'Contempt']"
"Migrants contribute significantly to the economy, often taking on essential jobs that keep our communities running smoothly. Instead of taking advantage, many are working hard to build a better life and enrich our society with diverse cultures and perspectives. Let's appreciate the value they bring rather than spreading unfounded fears.","I am not a racist, but this guy looks a bit like an imam. Maybe he should avoid this town?",There are rules in place to prevent migrants entering the UK illegally. Only the most vulnerable of people can get in.,V2,MIGRANTS,['Immigration and Refugee Status'],"['Contempt', 'Resentment']"
