V4_id,augmented_text,entityt_tokens,counter_narrative,label
V4_89,அவசர வசனங்கள் மற்றும் கத்தல் போன்று உரையாடும் ஆட்கள் எனக் கூறி திருநங்கைகள் மீது குற்றம் சுமத்தப்படுகிறது.,அவசர வசனங்கள் மற்றும் கத்தல் போன்று உரையாடும் ஆட்கள்,பேச்சு முறை அல்லது குரல் எந்த அடையாளத்தையும் குறைக்கும் உரிமை யாருக்கும் இல்லை.,Transphobia
V4_90,சிலர் சமூகத்தில் பயத்தை ஏற்படுத்தும் நெருக்கமான அணுகுமுறைகள் என திருநங்கைகள் மீதான விமர்சனங்களை தூண்டுகின்றனர்.,சமூகத்தில் பயத்தை ஏற்படுத்தும் நெருக்கமான அணுகுமுறைகள்,"நெருக்கம், உரிமை மற்றும் உரையாடல்—all must be built on mutual respect.",Transphobia
V4_91,பலர் துணிகர ஒலி மூலம் அடையாளத்தை கேலி செய்யும் பிம்பங்கள் உருவாக்குகின்றனர்.,துணிகர ஒலி மூலம் அடையாளத்தை கேலி செய்யும் பிம்பங்கள்,"ஒலியானாலும், நடையானாலும், அடையாளத்தை கேலி செய்வது முற்றிலும் தவறு.",Transphobia
V4_92,"விலங்குகளைப் போல குரலில் ஆரவாரம் செய்வது, திருநங்கைகளின் விழாக்களை இழிவுபடுத்தும் ஒரு வழியாக சிலர் பயன்படுத்துகிறார்கள்.",விலங்குகளைப் போல குரலில் ஆரவாரம் செய்வது,மகிழ்ச்சியை பகிர்வது ஒருவரின் உரிமை; ஒப்பீடு இழிவாக இருக்கக்கூடாது.,Transphobia
V4_93,சந்தையில் உருவமற்ற உடையால் குழப்பம் ஏற்படுத்தும் பெண்கள் போல காணப்படுகிறார்கள்.,உருவமற்ற உடையால் குழப்பம் ஏற்படுத்தும் பெண்கள் போல,"உடை என்பது தனிநபரின் உரிமை; அது குழப்பமாக இல்லை, வெறும் வித்தியாசம்.",Transphobia
V4_94,தெருக்களில் கலவரப் போக்கில் அரைகுறை வேஷம் போடும் செயலைப் பார்வையாளர்கள் கேலிக்குரியதாக பார்க்கின்றனர்.,கலவரப் போக்கில் அரைகுறை வேஷம்,வேஷம் ஒரு கலை; அதை அருவருப்பாக கூறுவது கலைக்கே அவமானம்.,Transphobia
V4_95,சிலர் ஆணோ பெண்ணோ தெரியாத பேச்சு முறை தவிர்க்கப்படவேண்டும் என வாதிடுகிறார்கள்.,ஆணோ பெண்ணோ தெரியாத பேச்சு முறை,பேச்சு என்பது அடையாளத்துடன் தொடர்புடையதல்ல; அது விருப்பத்தின் வெளிப்பாடு.,Transphobia
V4_96,"பழிவாங்கும் முகத்துடன் கேட்கப்படும் பிச்சை, திருநங்கைகள் மீது தவறான பார்வை ஏற்படுத்துகிறது.",பழிவாங்கும் முகத்துடன் கேட்கப்படும் பிச்சை,பிச்சை என்பது வறுமையின் ஒரு பிம்பம்; அதை இழிவாக்கக்கூடாது.,Transphobia
V4_97,"கேலிக்குரிய வாய்மொழி மற்றும் இளைட்டிய நடையுடன் பேசுவது, சிலரால் அடையாள மாசுபாடாக கருதப்படுகிறது.",கேலிக்குரிய வாய்மொழி மற்றும் இளைட்டிய நடையுடன் பேசுவது,பேச்சு முறையும் நடையும் அவரவரின் உரிமை; அவை கேலி அல்ல.,Transphobia
V4_98,பொய்யான சம்பவங்கள் மூலம் சமூகத்தில் நம்பிக்கையை சிதைக்கும் கதைகள் பரவுகின்றன.,பொய்யான சம்பவங்கள் மூலம் சமூகத்தில் நம்பிக்கையை சிதைக்கும் கதைகள்,உண்மையற்ற செய்திகள் வெறுப்பை வளர்க்கும்; உண்மையை பரப்புவதே வழி.,Transphobia
V4_99,"கேலி எழுக்கும் அளவுக்கு ஒலிக்கும் புன்னகை மற்றும் உரையாடல், தெரு பயணிகளுக்கு “சிக்கலாக” சித்தரிக்கப்படுகிறது.",கேலி எழுக்கும் அளவுக்கு ஒலிக்கும் புன்னகை மற்றும் உரையாடல்,புன்னகையும் உரையாடலும் சமூக உறவை உறுதி செய்கின்றன—not irritation.,Transphobia
V4_100,"சிலர் சத்தமாக உரையாடும், விளையாட்டு சிரிப்புடன் நடக்கும் அமைப்புகளை சமூக பீதி என வகைப்படுத்துகிறார்கள்.","சத்தமாக உரையாடும், விளையாட்டு சிரிப்புடன் நடக்கும் அமைப்புகளை",சிரிப்பும் உரையாடலும் மனித ஒற்றுமையின் அடையாளம்; அவை பீதியல்ல.,Transphobia
V4_101,சிலர் தடைசெய்யப்பட வேண்டிய போக்குகள் என்று ஒரின உறவுகளை வெறுக்கின்றனர்.,தடைசெய்யப்பட வேண்டிய போக்குகள்,உரையாடலை தடை செய்வது கருத்துச் சுதந்திரத்திற்கு எதிரானது.,Homophobia
V4_102,"புரியாத பிம்பங்களால் உருவான அவமானப் பேச்சு, பலரை பாதிக்கிறது.",புரியாத பிம்பங்களால் உருவான அவமானப் பேச்சு,இத்தகைய சொற்கள் பாகுபாட்டை அதிகரிக்கும்; மரியாதைதே தேவை.,Homophobia
V4_103,ஒருவரின் விருப்பத்தை பொதுநலத்துக்கு ஆபத்தாக மாற்றும் நோக்கம் இருக்கிறது.,பொதுநலத்துக்கு ஆபத்தாக மாற்றும் நோக்கம்,பாலியல் விருப்பம் குற்றமல்ல; அதை சமமாக மதிக்க வேண்டும்.,Homophobia
V4_104,கண்டிப்பாக கட்டுப்படுத்த வேண்டிய பழக்கங்கள் என்று கூறுவதால் பெரும் பாகுபாடு உருவாகிறது.,கண்டிப்பாக கட்டுப்படுத்த வேண்டிய பழக்கங்கள்,தண்டனை பாகுபாட்டை அதிகரிக்கும்; புரிதல் மற்றும் உரிமை தேவை.,Homophobia
V4_105,பாவச்சூழல் உருவாக்கும் விருப்பங்கள் என்று மதத்தால் மறுக்கப்படுவது தவறானது.,பாவச்சூழல் உருவாக்கும் விருப்பங்கள்,மத நம்பிக்கையை வைத்து பாகுபாடு செய்வது தவறு.,Homophobia
V4_106,மாணவர்களை பாதிக்கும் மாற்றுபாலின உந்துதல் எனக் கூறுபவர்கள் வதந்திகளை பரப்புகிறார்கள்.,மாற்றுபாலின உந்துதல்,மனிதர்களின் நட்பு மற்றும் உறவு வடிவங்கள் பலவிதம் இருக்கலாம்.,Homophobia
V4_107,குடும்ப வாழ்க்கையை பாவம் என பிம்பப்படுத்தும் பழக்கங்கள் என்று கூறுபவர்கள் உள்ளனர்.,பாவம் என பிம்பப்படுத்தும் பழக்கங்கள்,குடும்பம் நடத்துவது ஒருவரின் மனிதநேயத்தை நிர்ணயிக்காது.,Homophobia
V4_108,சமூக வளங்களை சிதைக்கும் ஒழுக்கமின்மை எனத் திகிலடையச் சொல்லப்படுகிறது.,சமூக வளங்களை சிதைக்கும் ஒழுக்கமின்மை,ஒருவரின் உரிமை வழங்கப்படுவது சமூகத்தில் கலவரத்தை ஏற்படுத்தாது.,Homophobia
V4_109,மாற்றியுருவ உரவுகள் என்பது வழக்கமல்ல எனக் கூறுவோர் தனியுரிமையை மறுக்கின்றனர்.,மாற்றியுருவ உரவுகள்,ஒருவரின் தனிப்பட்ட உறவுகள் அவருடைய தனியுரிமை.,Homophobia
V4_110,சட்டவிரோதமான காம உறவுகள் என்ற தவறான கணிப்புகள் சிலரால் பரப்பப்படுகின்றன.,சட்டவிரோதமான காம உறவுகள்,இயற்கை பல்வேறு வடிவங்களில் உள்ளது; அதை ஏற்க பழக வேண்டும்.,Homophobia
V4_111,பாலியல் வன்முறை ஏறக்குறைய அழிவான விருப்பச் சுதந்திரம் காரணமாக ஏற்படுகிறது என சிலர் கூறுகின்றனர்.,அழிவான விருப்பச் சுதந்திரம்,சட்டம் மற்றும் கல்வி தான் வன்முறையை தடுக்கும்—not orientation.,Homophobia
V4_112,தெரிவில்லாத உறவுகள் சமூகக் கட்டமைப்பை சிதைக்கும் என்பது தவறான கூற்று.,தெரிவில்லாத உறவுகள் சமூகக் கட்டமைப்பை சிதைக்கும்,குடும்ப உறவுகள் மற்றும் சம்மதத்துடன் இருக்கும் உறவுகள் வேறுபட்டவை.,Homophobia
V4_113,தவறான ஆதரவாளர்களால் உறுதியடையும் தவறு என்று கூறுவதால் பெண்களின் உரிமைகள் பாதிக்கப்படுகின்றன.,தவறான ஆதரவாளர்களால் உறுதியடையும் தவறு,ஒருவரின் ஆதரவு அவருடைய உரிமை; அதைத் தவறாக வகைப்படுத்தக் கூடாது.,Homophobia
V4_114,இயற்கை விதிகளுக்கு எதிரான சிறப்பாகவே தெரியும் காதல் காட்சிகள் எனப் பொருள் தரப்படுகிறது.,சிறப்பாகவே தெரியும் காதல் காட்சிகள்,இயற்கைக்கு புறம்பு என்றால் அது தவறு என்று அர்த்தமில்லை.,Homophobia
V4_115,இயற்கைக்கு முற்றிலும் விரோதமான தாயக உருவாக்கம் எனக் கூறி கேலி செய்கிறார்கள்.,இயற்கைக்கு முற்றிலும் விரோதமான தாயக உருவாக்கம்,"ஒருவரின் பிறப்பு எப்படி என்றாலும், அவரின் மனிதநேயத்தை மதிக்க வேண்டும்.",Homophobia
V4_116,நாட்டின் பாதுகாப்பிற்கு சமுதாய வெடிப்பு அளிக்கும் விருப்ப வழக்கங்கள் தவிர்க்கப்படவேண்டும் என வாதிடுகின்றனர்.,சமுதாய வெடிப்பு அளிக்கும் விருப்ப வழக்கங்கள்,நாட்டை காப்பது ஒற்றுமையாலும் புரிதலாலும் தான்—not exclusion.,Homophobia
V4_117,இயற்கையை சீரழிக்கும் கூட்டமாக ஒரின உறவுகள் தவறாக சித்தரிக்கப்படுகின்றன.,இயற்கையை சீரழிக்கும் கூட்டமாக,இயற்கையின் ஒரு பகுதியாகவே பல்வேறு பாலின விருப்பங்கள் உள்ளன.,Homophobia
V4_118,சமுதாயத்துக்கு விரோதமாக வாழும் பிரிவுகள் என்று கூறி அவர்களை நீக்கவேண்டும் என வலியுறுத்தப்படுகின்றது.,சமுதாயத்துக்கு விரோதமாக வாழும் பிரிவுகள்,"ஒரு சமூக பிரிவை நீக்குவது அல்ல, அனைவரும் சேர்ந்து வாழ்வதே தீர்வு.",Homophobia
V4_119,பொய்யான முகமூடியில் ஆண்களாக நடிக்கும் பெண்கள் என திருநங்கைகளை குறைக்கின்றனர்.,பொய்யான முகமூடியில் ஆண்களாக நடிக்கும் பெண்கள்,பாலியல் அடையாளம் ஒரு முகமூடி அல்ல; அது உண்மையான சுயநிலை.,Homophobia
V4_120,மறைப்போக்கில் நடத்தும் பெண்களாக நடிக்கும் ஆண்கள் என்பது சிலரால் கேலிக்குரியதாக பார்க்கப்படுகிறது.,மறைப்போக்கில் நடத்தும் பெண்களாக நடிக்கும் ஆண்கள்,பாலின அடையாளங்களை நடிகரிடமிருந்து தனிமனித அடையாளமாகவே பார்க்க வேண்டும்.,Homophobia
V4_121,குற்றப்பூர்வ சிந்தனைகளுக்கு இடமில்லாத இடம் என்று கூறி ஒரின உறவை ஒதுக்கப்படுகிறார்.,குற்றப்பூர்வ சிந்தனைகளுக்கு இடமில்லாத இடம்,சமூகத்தில் இடம் கொடுக்காதது பிரிவினையை அதிகரிக்கும்; ஒவ்வொருவருக்கும் உரிமை உள்ளது.,Homophobia
V4_122,மனநல பாதிப்பை ஏற்படுத்தும் நிலை என்று சிலர் ஒருபாலின விருப்பங்களை அச்சுறுத்துகின்றனர்.,மனநல பாதிப்பை ஏற்படுத்தும் நிலை,பல்வகை மக்களை ஏற்றுக்கொள்வது சமூக பாதுகாப்பை கூட்டும்—not weaken it.,Homophobia
V4_123,அரசியல் சட்டத்தில் கூட தடை செய்ய வேண்டிய உணர்வுகள் என ஒரின உறவை காண்கின்றனர்.,அரசியல் சட்டத்தில் கூட தடை செய்ய வேண்டிய உணர்வுகள்,"சட்டம் காலத்துக்கு ஏற்ப மாற வேண்டும், அனைவரின் உரிமையை உறுதிப்படுத்தவேண்டும்.",Homophobia
V4_124,அசிங்கமான மற்றும் அமைதி கெடுக்கும் உறவுகள் என்று கூறுவதால் ஒருவரின் வாழ்க்கையை இழிவாக்கப்படுகிறது.,அசிங்கமான மற்றும் அமைதி கெடுக்கும் உறவுகள்,ஒருவரின் உறவை தவறானது எனப் பெயரிடுவது அவரின் தனி அடையாளத்தை மறுக்கிறது.,Homophobia
V4_125,இயற்கை விதிகளுக்கு எதிரான நடத்தை என சொல்வது தவறான புரிதலின் விளைவாகும்.,இயற்கை விதிகளுக்கு எதிரான நடத்தை,இயற்கையின் ஒரு பகுதியே பல்வேறு பாலின விருப்பங்கள்; அவை தவறு அல்ல.,Homophobia
V4_126,வெளிநாட்டு வியாதிகளை போல பரவும் உறவுகள் எனச் சொல்வது குற்றவாளிகளை உருவாக்கும்.,வெளிநாட்டு வியாதிகளை போல பரவும் உறவுகள்,"சட்டம் அனைவருக்கும் சம உரிமை அளிக்க வேண்டும், வதந்திகள் பரவக் கூடாது.",Homophobia
V4_127,இயற்கை கட்டுப்பாடுகளை மீறிய வாழ்க்கைத் தேர்வுகள் என்பதாய் கூறி வழிகாட்டப்படுகிறார்கள்.,இயற்கை கட்டுப்பாடுகளை மீறிய வாழ்க்கைத் தேர்வுகள்,படைப்பின் இயல்பை சொல்லி ஒருவர் வாழ்க்கைத் தேர்வை குறைக்கும் உரிமை யாருக்கும் இல்லை.,Homophobia
V4_128,மாற்று விருப்பங்களை எதிர்க்க வேண்டிய கடமை என சிலர் கருத்து கொள்கின்றனர்.,மாற்று விருப்பங்களை எதிர்க்க வேண்டிய கடமை,ஒருவரின் விருப்பத்தை எதிர்ப்பது அவரின் தனிநபர் உரிமையை மறுப்பதாகும்.,Homophobia
V4_129,சமுதாயம் நாசமாகும் இடைவெளியில் வாழும் உறவுகள் என சிலர் தவறாக பிம்பிக்கின்றனர்.,சமுதாயம் நாசமாகும் இடைவெளியில் வாழும் உறவுகள்,"ஒருவரின் பாலின விருப்பம் குற்றம் அல்ல, அது தனி அடையாளம்.",Homophobia
V4_130,நாட்டின் வீழ்ச்சிக்கு வித்திடும் காதல் வலையம் என சிலர் ஒதுக்குகிறார்கள்.,நாட்டின் வீழ்ச்சிக்கு வித்திடும் காதல் வலையம்,"ஓரின உறவு நாட்டின் வளர்ச்சியை பாதிக்காது, மக்களின் உரிமையை மேம்படுத்தும்.",Homophobia
V4_131,"homosexuals போல நடக்கிற ஆண்கள், பெண்களை தவறாக அணுகும் ஆபத்தான குழு என்று பேசுகிறார்கள்.",தவறாக அணுகும் ஆபத்தான குழு,"தவறான நடத்தை பாலின விருப்பம் காரணமல்ல, அது தனி நபரின் பொறுப்பு.",Homophobia
V4_132,"சிலர் கூறுகிறார்கள், பாவம் செய்யும் வாழ்க்கைத் தேர்வு தான் ஓரின உறவுகள் என.",பாவம் செய்யும் வாழ்க்கைத் தேர்வு,"ஓரின உறவு என்பது மனித வாழ்வின் இயல்பான பாகம், பாவம் அல்ல.",Homophobia
V4_133,gay lesbian உறவுகள் குறித்து இழிவான நடிப்பும் நயவஞ்சகத்தும் என சித்தரிக்கப்படுகிறது.,இழிவான நடிப்பும் நயவஞ்சகத்தும்,நடிப்பு என்பது கலை; உணர்வுகளை இழிவுபடுத்தும் வகையில் பயன்படுத்தக்கூடாது.,Homophobia
V4_134,gay lesbian சேர்க்கையாளர் குறித்து குற்றவாளிகளாக சித்தரிக்கப்படும் பிம்பம் உருவாகிறது.,குற்றவாளிகளாக சித்தரிக்கப்படும் பிம்பம்,"குற்றம் ஒரு செயலால் நிர்ணயிக்கப்படும், பாலின விருப்பம் காரணமல்ல.",Homophobia
V4_135,ஓரினச்சேர்க்கை குறித்து தவறான சட்டப் புரிதலால் தவறாகச் சித்தரிக்கப்படும் ஒரு செயலாக பார்க்கப்படுகிறது.,தவறான சட்டப் புரிதலால் தவறாகச் சித்தரிக்கப்படும் ஒரு செயலாக,"சட்டம் சமூக நலனுக்கேற்ப மாற வேண்டும், தவறான புரிதல் அடிப்படையாக இருக்கக்கூடாது.",Homophobia
V4_136,"காம விருப்பம் அதிகம் உள்ள ஆண்கள், அசிங்க நடத்தை கொண்டவர்கள் என பெயரடைக்கப்படுகிறார்கள்.",அசிங்க நடத்தை கொண்டவர்கள் என பெயரடைக்கப்படுகிறார்கள்,பாலியல் விருப்பம் ஒரு குற்றச்சாட்டாக இருக்கக்கூடாது; மனித உரிமை மதிக்கப்பட வேண்டும்.,Homophobia
V4_137,ஓரினச்சேர்க்கை ஆண்மை இழக்க செய்யும் பழக்கம் என சிலர் கூறுகிறார்கள்.,ஆண்மை இழக்க செய்யும் பழக்கம்,"ஆண்மை மனப்பாங்கில் இருக்கிறது, விருப்பங்களில் அல்ல.",Homophobia
V4_138,திருமணத்திற்குப் பிறகு gay lesbian வாழ்க்கை நடத்துபவர்கள் குறித்து வேஷம் போட்ட நடிப்பு வாழ்க்கை என பாரபட்சம் காட்டப்படுகிறது.,வேஷம் போட்ட நடிப்பு வாழ்க்கை,வாழ்க்கை என்பது உண்மையான விருப்பங்களை பிரதிபலிக்க வேண்டும்—not a disguise.,Homophobia
V4_139,gay lesbian உறவுகள் பற்றி ஒழுக்கம் குறைவானவர்கள் என பொதுவானக் குற்றம் சுமத்தப்படுகிறது.,ஒழுக்கம் குறைவானவர்கள் என பொதுவானக் குற்றம்,ஒழுக்கம் தனிநபரின் செயலில் இருந்து வரும்—not identity.,Homophobia
V4_140,"சிலர் ஓரினச்சேர்க்கையை பாவம் என்றும், அழிக்க வேண்டிய சூழ்நிலை என்றும் கூறுகிறார்கள்.","பாவம் என்றும், அழிக்க வேண்டிய சூழ்நிலை என்றும்",பாவம் என்ற கணிப்புகள் மத அடிப்படையில் மாறுபடும்; உரிமைகள் பொதுவானவை.,Homophobia
V4_141,"gay lesbian உறவு தவறுதான் என்கிறவர்கள், அதை ஆதரிக்கிறவர்களே சமூகத்திற்கு ஆபத்து என வாதிடுகின்றனர்.",அதை ஆதரிக்கிறவர்களே சமூகத்திற்கு ஆபத்து,ஒருவர் விருப்பத்தை ஆதரிப்பது அவரது உரிமை; அதைப் புறக்கணிப்பதே ஆபத்தானது.,Homophobia
V4_142,"“ஒத்த பாலின உறவு வழக்கமாகி விட்டால்” என சிலர் பயமுறுத்துகிறார்கள், அது நாட்டின் பண்பாட்டை சிதைக்கும் என.",நாட்டின் பண்பாட்டை சிதைக்கும்,நாட்டின் பண்பாடு அனைவரையும் உள்ளடக்க வேண்டும்—not exclude.,Homophobia
V4_143,"நட்பை செக்ஸ் என மாற்றும் பழக்கத்தால், முற்போக்கு உறவுகள் கேலிக்குரியதாக மாற்றப்படுகின்றன.",முற்போக்கு உறவுகள் கேலிக்குரியதாக,"நட்பு, செக்ஸ்—இவை அனைத்தும் சம்மதத்தின் அடிப்படையிலானவை; அவை கேலி அல்ல.",Homophobia
V4_144,"புதுநடை வருகை கொண்டு, சிலர் பண்பாட்டு அடையாளம் முற்றிலுமாக அழிந்துவிடும் என அச்சம் தெரிவிக்கின்றனர்.",பண்பாட்டு அடையாளம் முற்றிலுமாக அழிந்துவிடும்,புதிய புரிதல்கள் பண்பாட்டை அழிக்கவில்லை; அவை வளர்ச்சி தருகின்றன.,Homophobia
V4_145,"ஆண்களுக்கு இது வழிகாட்டும் தவறான சாய்வாகி, ஆண்மையை தளர்க்கும் ஒரு வகையாக பார்க்கப்படுகிறது.","வழிகாட்டும் தவறான சாய்வாகி, ஆண்மையை தளர்க்கும் ஒரு வகையாக",ஆண்மை என்பது சாய்வால் தீர்மானிக்கப்படாது; அது உள்ளுணர்வில் இருக்கிறது.,Homophobia
V4_146,இந்த தேர்வு வாழ்க்கையின் இறுதிக்கட்ட முடிவாக சிலர் கூறுகிறார்கள்.,வாழ்க்கையின் இறுதிக்கட்ட முடிவாக,"வாழ்க்கைத் தேர்வு என்பது அழிவின் அடையாளம் அல்ல, அது சுதந்திரத்தின் பிம்பம்.",Homophobia
V4_147,gay lesbian நடைமுறைகள் உலகத்தை சீரழிக்கும் நோக்கத்தில் வளர்கின்றன என்று கூறுவது வதந்தி.,உலகத்தை சீரழிக்கும் நோக்கத்தில் வளர்கின்றன,உலகம் பல்வேறு வகையான உறவுகளால் உருவானது—not destroyed by them.,Homophobia
V4_148,"வேலை தேடுகிறவர்கள் இடைமறிக்கப்படுகிறார்கள், ஏனெனில் அவர்கள் அடையாளம் தகுதியற்றதாக கருதப்படுகிறது.",அவர்கள் அடையாளம் தகுதியற்றதாக,"அடையாளம் அல்ல, திறமைதான் வேலைக்கான தகுதி.",Homophobia
V4_149,வீட்டு அமைதி குறைவது திருநங்கை வாழ்க்கை காரணம் என சுமத்தப்படும் தவறான விமர்சனம்.,திருநங்கை வாழ்க்கை காரணம் என சுமத்தப்படும் தவறான விமர்சனம்,வீட்டு அமைதிக்குத் தடை திருநங்கைகள் அல்ல; பாகுபாடுதான் பிரச்சனை.,Transphobia
V4_150,"சிலர் கூறுகின்றனர், இந்த குழுவுக்கு கொடிய தண்டனையே ஒரே தீர்வாகும் எனவே அதையே மேற்கொள்ள வேண்டும்.",இந்த குழுவுக்கு கொடிய தண்டனையே ஒரே தீர்வாகும்,"தண்டனை அல்ல, உரிமை மற்றும் புரிதல் தேவை.",Transphobia
V4_151,இவங்க பேசுறதுக்கு அருவருப்பான சொற்கள் மட்டுமே பொருத்தமானவை என சிலர் கிண்டலுடன் கூறுகிறார்கள்.,அருவருப்பான சொற்கள் மட்டுமே பொருத்தமானவை,இழிவுச் சொற்கள் வன்முறையைத் தூண்டும்; மரியாதை பேச்சே சமூக ஒற்றுமையின் அடிப்படை.,Transphobia
V4_152,"9 திருநங்கை ஒன்று கூடினால், சமுதாய பாதுகாப்பே பாதிக்கப்படும் எனச் சிலர் பரிதாபமாக கூறுகிறார்கள்.",சமுதாய பாதுகாப்பே பாதிக்கப்படும்,"பாதுகாப்பை ஆபத்தாக்குவது அடையாளம் அல்ல, வன்முறை அல்லாதிருத்தல் தான் முக்கியம்.",Transphobia
V4_153,பெண் ஆண்களின் பாணியை ஏற்கும் அழிவை ஏற்படுத்தும் பழக்கங்களே காரணம் என சிலர் விமர்சிக்கின்றனர்.,அழிவை ஏற்படுத்தும் பழக்கங்களே காரணம்,பாலின வெளிப்பாடு ஒருவரின் தனிநபர் உரிமை; அதை பழியாக்கக் கூடாது.,Transphobia
V4_154,"இளைஞர்கள் திருநங்கையுடன் பழகினால், வழிபோக்காக மாறிவிடுவார்கள் என்று பயமுறுத்துகிறார்கள்.",வழிபோக்காக மாறிவிடுவார்கள்,நட்பு ஒருவரின் குணநலனில் தான் இருக்கிறது—not association.,Transphobia
V4_155,"மூதாட்டிகள் கூறுகின்றனர், திருநங்கைகளுக்கு நம்பிக்கை வைக்கலாமா என்ற சந்தேகம் கூட இருக்க கூடாது.",திருநங்கைகளுக்கு நம்பிக்கை வைக்கலாமா என்ற சந்தேகம் கூட இருக்க கூடாது,நம்பகத்தன்மை செயலில் தெரியும்—not identity.,Transphobia
V4_156,திருமண மேடையில் திருநங்கை தோன்றினால் அதே நிகழ்ச்சி அருவருப்பில் முடியும் எனக் கூறப்படுகிறது.,திருநங்கை தோன்றினால் அதே நிகழ்ச்சி அருவருப்பில் முடியும்,திறமை அடையாளத்தால் குறையாது; பாகுபாடே தரத்தை குறைக்கும்.,Transphobia
V4_157,உரையாடலுக்குள் ஒருவர் திருநங்கை என தெரிய வந்தவுடன் அவர்கள் மீது அச்சம் ஏற்படுகிறது என கூறுகிறார்கள்.,அவர்கள் மீது அச்சம் ஏற்படுகிறது,உரையாடல் புரிதலை அதிகரிக்கிறது—not fear.,Transphobia
V4_158,"சிலர் நினைக்கிறார்கள், திருநங்கை சமூகத்தில் இடம் பெற்றால் அமைதி கெடும் என.",திருநங்கை சமூகத்தில் இடம் பெற்றால் அமைதி கெடும்,அமைதியை உருவாக்குவது பாகுபாடு அல்ல; ஏற்றுக்கொள்வதே.,Transphobia
V4_159,"திருநங்கை ஒருவர் ஆணுடன் நட்பு கொண்டால், அந்த ஆண் வாழ்நாளில் தவறு செய்வார் என நினைப்பது பாகுபாடு.",அந்த ஆண் வாழ்நாளில் தவறு செய்வார்,ஒருவரின் விருப்பம் பிறரை கெடுக்காது; இது ஆதாரமற்ற பயம்.,Transphobia
V4_160,"திருநங்கைகளை வேலைக்குள் அனுமதித்தால், அவர்கள் கலைத்திறனை களைய வைக்கிறார்கள் என நினைப்பது பிழை.",அவர்கள் கலைத்திறனை களைய வைக்கிறார்கள்,திறமை அடையாளத்தால் தீர்மானிக்கப்படுவதில்லை; பயப்பட வேண்டியதில்லை.,Transphobia
V4_161,"வீட்டுக்குள் திருநங்கை நுழையும்போது, சிலர் அழிவுக்கான அறிகுறி என உணர்கிறார்கள்.",அழிவுக்கான அறிகுறி என உணர்கிறார்கள்,வீடு அனைவருக்கும் திறந்த இடமாக இருக்க வேண்டும்—not exclusion.,Transphobia
V4_162,"வேலை வாய்ப்பில் திருநங்கை ஒன்றும் தவறில்லை, ஆனால் சிலர் அவர்கள் செயல் நிலையில்லை என எண்ணுகின்றனர்.",அவர்கள் செயல் நிலையில்லை என எண்ணுகின்றனர்,வேலை தகுதி திறமை மற்றும் அனுபவத்தால் தீர்மானிக்கப்படும்—not identity.,Transphobia
V4_163,தெருவில் திருநங்கை ஒருவர் சென்றால் உணர்வில் கிண்டல் கலந்த சிரிப்பு வரும் என சிலர் தெரிவிக்கின்றனர்.,உணர்வில் கிண்டல் கலந்த சிரிப்பு வரும்,ஒருவரை கேலி செய்வது அவமானம்; மரியாதையே நல்ல இயல்பு.,Transphobia
V4_164,ஆலய வாசலில் திருநங்கை வருவது தடைகளை ஏற்படுத்தும் பாவகரமான செயல் என நினைப்பது பரவலாகவே உள்ளது.,தடைகளை ஏற்படுத்தும் பாவகரமான செயல்,ஆன்மீக இடம் அனைவருக்கும் உரியது; தடைகள் பாகுபாடு.,Transphobia
V4_165,சிலர் திருநங்கையைப் பார்த்தாலே மனதளவில் சாபம் வரும் எனக் கூறுகின்றனர்.,மனதளவில் சாபம் வரும் எனக் கூறுகின்றனர்,மூடநம்பிக்கை மக்கள் மனதைப் பிரிக்கும்; அறிவு இணைக்கிறது.,Transphobia
V4_166,"திருநங்கை ஆண்மையை பாதிக்கிறார் என்கிறவர்கள், அவருடன் நெருக்கம் ஆபத்தை ஏற்படுத்தும் என சொல்லுகிறார்கள்.",அவருடன் நெருக்கம் ஆபத்தை ஏற்படுத்தும் என சொல்லுகிறார்கள்,"ஆண்மை மனப்பாங்கிலும் நடப்பிலும் தெரியும், பிறரைத் தவிர்ப்பதில் அல்ல.",Transphobia
V4_167,சட்ட உரிமையை திருநங்கைகளுக்குத் தருவது சமுதாய ஒழுங்கை சிதைக்கும் என மதிப்பீடு செய்யப்படுகிறது.,சமுதாய ஒழுங்கை சிதைக்கும்,சட்ட உரிமை சமத்துவத்திற்கான அடித்தளம்; அதை நீக்குவது பாகுபாடு.,Transphobia
V4_168,சிலர் திருமணத்தை திருநங்கையுடன் நடத்துவது மரபை கேள்விக்குள்ளாக்கும் செயல் என கருதுகிறார்கள்.,மரபை கேள்விக்குள்ளாக்கும் செயல்,திருமண உரிமை அனைவருக்கும் பொதுவானது; பாகுபாடு மரபல்ல.,Transphobia
V4_169,"திருநங்கை பேசும்போது, சமூகத்தில் தேவையற்ற கலவரத்துக்கே வழி வகுக்கும் என்கிறார்கள்.",சமூகத்தில் தேவையற்ற கலவரத்துக்கே வழி வகுக்கும்,பேச்சு உரிமை மனித உரிமையின் பகுதி; அனைவருக்கும் உரியது.,Transphobia
V4_170,9 பெண்கள் திருநங்கையுடன் இருந்தால் மக்கள் கிண்டலாக பார்த்து பேசுவார்கள் என்பது தவறான நிலைப்பாடு.,மக்கள் கிண்டலாக பார்த்து பேசுவார்கள்,கேலி சமூகத்தைப் பிளக்கும்; மரியாதை இணைக்கும்.,Transphobia
